Career_ID,Career_Title,Career_Family,Level,Career_DNA_Primary,Career_DNA_Match_Score,Starting_Salary_Min_INR,Starting_Salary_Max_INR,Remote_Work_Score,Work_Life_Balance_Score,Job_Satisfaction_Score,Market_Demand_2026,Growth_Rate_Percent,Freelance_Opportunity
WK0001,Software Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,60,5,9,Medium,24,Medium
WK0002,Full Stack Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,20,7,9,Very High,10,Low
WK0003,Frontend Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,20,5,7,Medium,26,Low
WK0004,Backend Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,40,7,8,High,11,Medium
WK0005,DevOps Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,60,6,6,High,19,Medium
WK0006,Site Reliability Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,60,5,6,Medium,19,High
WK0007,Cloud Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,80,5,6,High,28,Medium
WK0008,Platform Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,60,5,9,High,16,Very High
WK0009,Mobile Developer (iOS),Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,40,5,8,Very High,25,Medium
WK0010,Mobile Developer (Android),Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,40,5,6,High,24,Medium
WK0011,React Native Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,20,7,9,High,6,Low
WK0012,Flutter Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,60,7,8,High,9,High
WK0013,Game Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,60,5,7,High,9,High
WK0014,Unity Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,80,4,8,High,27,Medium
WK0015,Unreal Engine Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,40,8,7,Medium,25,High
WK0016,Embedded Systems Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,60,8,8,High,26,Low
WK0017,Firmware Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,40,5,9,High,17,Low
WK0018,Systems Programmer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,80,4,6,High,6,Low
WK0019,Software Architect,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,90,5,9,Medium,10,High
WK0020,Solutions Architect,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,60,5,6,Very High,16,High
WK0021,Enterprise Architect,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,40,6,6,High,10,Low
